label,text
"""Human""","Personalized service systems are an effective way to help users obtain recommendations for unseen items, within
 the enormous volume of information available based on their preferences. The most commonly used personalized
 service system methods are collaborative filtering, content-based filtering, and hybrid filtering. Unfortunately, 
each method has its drawbacks. This paper proposes a new method which unified partition-based collaborative
 filtering and meta-information filtering. In partition-based collaborative filtering the user-item rating matrix can 
be partitioned into low-dimensional dense matrices using a matrix clustering algorithm. Recommendations are 
generated based on these low-dimensional matrices. Additionally, the very low ratings problem can be solved
 using meta-information filtering. The unified method is applied to a digital resource management system. 
The experimental results show the high efficiency and good performance of the new approach"
"""AI""","Personalized service systems have emerged as a potent means to aid users in discovering recommendations from
 the overwhelming sea of available information, tailored to their preferences. While collaborative filtering,
 content-based filtering, and hybrid filtering are widely used, each bears its own limitations. This paper
 introduces a novel approach that combines partition-based collaborative filtering and meta-information 
filtering to address these shortcomings. The methodology entails partitioning the user-item rating matrix 
into compact, low-dimensional matrices using a matrix clustering algorithm, forming the foundation for
 generating recommendations. Moreover, the challenge of very low ratings is tackled through meta-information
 filtering. The proposed unified technique finds application in a digital resource management system, yielding 
experimental results that underscore its efficiency and commendable performance"
"""Human""","The features of electromyographic (EMG) signals were investigated while people walking on different terrains, including up and down slopes, up and down stairs, and during level walking at different speeds. The features were used to develop a terrain identification method. The technology can be used to develop an intelligent transfemoral prosthetic limb with terrain identification capability. The EMG signals from 8 hip muscles of 13 healthy persons were recorded as they walked on the different terrains. The signals from the sound side of a transfemoral amputee were also recorded. The features of these signals were obtained using data processing techniques with an identification process developed for the identification of the terrain type. The procedure was simplified by using only the signals from three muscles. The identification process worked well in an intelligent prosthetic knee in a laboratory setting"
"""AI""","This study delved into the characteristics of electromyographic (EMG) signals during various walking scenarios on diverse terrains, encompassing slopes, stairs, and level walking at different speeds. These features were harnessed to devise a method for identifying terrains. The potential application of this technology lies in the creation of an intelligent transfemoral prosthetic limb endowed with terrain recognition capabilities. EMG signals from 8 hip muscles of 13 healthy individuals and a transfemoral amputee's unaffected side were recorded during walking on distinct terrains. Employing data processing techniques, features were extracted from these signals, and an identification process was developed for terrain classification. A simplified approach utilizing signals from three muscles streamlined the procedure. In a laboratory context, the identification process showcased promising performance in an intelligent prosthetic knee."
"""Human""","Fault diagnosis is very important for development and maintenance of safe and reliable electronic circuits and systems. This paper describes an approach of soft fault diagnosis for analog circuits based on slope fault feature and back propagation neural networks (BPNN). The reported approach uses the voltage relation function between two nodes as fault features; and for linear analog circuits, the voltage relation function is a linear function, thus the slope is invariant as fault feature. Therefore, a unified fault feature for both hard fault (open or short fault) and soft fault (parametric fault) is extracted. Unlike other NN-based diagnosis methods which utilize node voltages or frequency response as fault features, the reported BPNN is trained by the extracted feature vectors, the slope features are calculated by just simulating once for each component, and the trained BPNN can achieve all the soft faults diagnosis of the component. Experiments show that our approach is promising"
"""AI""","In the realm of ensuring the safety and reliability of electronic circuits and systems, fault diagnosis stands as a crucial pursuit. This paper introduces a novel approach to soft fault diagnosis in analog circuits, leveraging slope fault features and the power of Back Propagation Neural Networks (BPNN). The proposed method capitalizes on the voltage relation function between two nodes to serve as fault features. Notably, for linear analog circuits, the voltage relation function manifests as a linear function, ensuring that the slope remains invariant and forms a consistent fault feature. This innovation provides a unified fault feature encompassing both hard faults (open or short circuits) and soft faults (parametric faults). Unlike alternative neural network-based diagnostic methods that rely on node voltages or frequency response as fault features, the described BPNN is trained using the derived feature vectors. The beauty of this approach lies in its efficiency: slope features are computed through a single simulation per component, and the trained BPNN encompasses the diagnosis of all soft faults associated with the component. Empirical trials validate the promise of this approach, underscoring its potential in the realm of fault diagnosis."
"""Human""","The growing interest in energy-efficient buildings is driving changes in investment, design, and occupant behavior. To better focus cost and resource conservation efforts, electricity consumption feedback can be used to provide motivation, guidance, and verification. Disaggregating by end-use helps both consumers and producers to identify targets for conservation. While hardware-based sub-metering is costly and labor-intensive, non-intrusive load monitoring (N I LM) is capable of gathering detailed energy-use data with minimal equipment cost and installation time. However, variations in measurements between metering devices complicate the process of compiling the necessary appliance profiles. Future work involves the development of NILM algorithms using sensor fusion and detailed appliance-level data gathered from a highly-sensed house currently being constructed near Pittsburgh, Pennsylvania."
"""AI""","The increasing emphasis on energy-efficient buildings has sparked transformations in investment, design, and occupant behavior. To streamline efforts for cost-effectiveness and resource preservation, leveraging electricity consumption feedback has emerged as a valuable strategy for motivation, guidance, and validation. The process of disaggregating energy consumption by end-use enables both consumers and providers to pinpoint areas for conservation. While hardware-intensive sub-metering approaches incur high costs and demand labor, non-intrusive load monitoring (NILM) stands out by offering detailed energy usage data with minimal equipment expenses and installation time. Nonetheless, the challenge arises from inconsistencies in measurements across metering devices, complicating the task of compiling essential appliance profiles. The upcoming agenda centers on developing NILM algorithms by amalgamating sensor fusion and intricate appliance-level data obtained from an extensively-sensed house currently under construction in the vicinity of Pittsburgh, Pennsylvania. This endeavor holds the promise of refining energy monitoring and optimization strategies."
"""Human""","The imminence of terrorist activities and the necessity of the maximum possible disaster preparedness in the sense of indoor-navigation support have been brought to evidence by several catastrophes, e.g., the fire at Istanbul Airport in May 2006 or the terror attacks on the London Underground on July 7, 2005. Since 2001 ten terror attacks have been thwarted only in Great Britain. For that reason the aim of the presented research project is to develop a solution for response and recovery to support rescuers in finding the shortest way within a public building and provide them with important information in their particular spatial context. Existing building information models (BIM) are used for displaying plans on mobile devices and for routing purposes. The indoor navigation system is based on wireless LAN (WLAN), ultra-wide-band (UWB), and radio frequency identification (RFID). These technologies are described in detail and an overview on data formats which are used to retrieve building data out of the BIM for generating routing networks is given"
"""AI""","The urgency of countering terrorist activities and the imperative for comprehensive disaster preparedness, particularly in terms of indoor navigation assistance, have been underscored by numerous catastrophic incidents. Notable examples include the 2006 fire at Istanbul Airport and the terror attacks on the London Underground in July 2005. This is further emphasized by the thwarting of ten terror attacks in Great Britain alone since 2001. Against this backdrop, the presented research project aims to develop a robust solution for effective response and recovery, aiding rescuers in swiftly navigating within public buildings and furnishing them with critical spatial context information. The endeavor capitalizes on existing Building Information Models (BIM) to showcase plans on mobile devices and facilitate routing. The indoor navigation system is underpinned by wireless LAN (WLAN), ultra-wide-band (UWB), and radio frequency identification (RFID) technologies. The intricacies of these technologies are thoroughly expounded upon, and a comprehensive overview of data formats employed to extract building data from the BIM, thereby generating routing networks, is provided. This project harbors the potential to significantly enhance the capabilities of rescuers in managing crises and optimizing response efforts."
"""Human""","Context-awareness enhances human-centric, intelligent behavior in a smart environment; however, context-awareness is not widely used due to the lack of effective infrastructure to support context-aware applications. This paper presents an agent-based middleware for providing context-aware services for smart spaces to afford effective support for context acquisition, representation, interpretation, and utilization to applications. The middleware uses a formal context model, which combines first order probabilistic logic (FOPL) and web ontology language (OWL) ontologies, to provide a common understanding of contextual information to facilitate context modeling and reasoning about imperfect and ambiguous contextual information and to enable context knowledge sharing and reuse. A context inference mechanism based on an extended Bayesian network approach is used to enable automated reactive and deductive reasoning. The middleware is used in a case study in a smart classroom, and performance evaluation result shows that the context reasoning algorithm is good for non-time-critical applications and that the complexity is highly sensitive to the size of the context dataset"
"""AI""","Context-awareness plays a pivotal role in enhancing intelligent, human-centric behavior within smart environments. Nonetheless, the limited adoption of context-awareness stems from the lack of an effective infrastructure to support context-aware applications. This paper introduces an agent-based middleware designed to provide context-aware services for smart spaces, thereby furnishing robust support for various facets of context management, including acquisition, representation, interpretation, and utilization for applications. The middleware hinges on a formal context model, which harmoniously amalgamates first-order probabilistic logic (FOPL) and the web ontology language (OWL) ontologies, thus creating a shared foundation for comprehending contextual information. This paves the way for efficient context modeling, handling imperfect and ambiguous contextual data, and facilitating context knowledge sharing and reusability. A context inference mechanism, built on an extended Bayesian network approach, powers automated reactive and deductive reasoning. A case study set within a smart classroom showcases the middleware's practical application, and performance evaluations affirm the effectiveness of the context reasoning algorithm, particularly for non-time-critical applications. Furthermore, the evaluations underscore the sensitivity of algorithmic complexity to the dimensions of the context dataset. This middleware holds the potential to catalyze advancements in context-aware technology within smart environments."
"""Human""","Let G = (V, E) be a complete undirected graph with vertex set V, edge set E, and edge weights /(e) satisfying the triangle inequality. The vertex set V is partitioned into clusters V 1 , V 2 , …, V k . The clustered traveling salesman problem (CTSP) seeks to compute the shortest Hamiltonian tour that visits all the vertices, in which the vertices of each cluster are visited consecutively. A two-level genetic algorithm (TLGA) was developed for the problem, which favors neither intra-cluster paths nor inter-cluster paths, thus realized integrated evolutionary optimization for both levels of the CTSP. Results show that the algorithm is more effective than known algorithms. A large-scale traveling salesman problem (TSP) can be converted into a CTSP by clustering so that it can then be solved by the algorithm. Test results demonstrate that the clustering TLGA for large TSPs is more effective and efficient than the classical genetic algorithm."
"""AI""","Consider a complete undirected graph G = (V, E) featuring a vertex set V, an edge set E, and edge weights satisfying the triangle inequality. The vertex set V is segregated into clusters V1, V2, ..., Vk. In the context of the Clustered Traveling Salesman Problem (CTSP), the primary objective revolves around determining the shortest Hamiltonian tour that encompasses all vertices, ensuring that vertices within each cluster are traversed consecutively. To address this problem, a Two-Level Genetic Algorithm (TLGA) was conceived. Unlike favoring solely intra-cluster or inter-cluster paths, this algorithm integrates evolutionary optimization for both CTSP levels, achieving a harmonized approach. Empirical outcomes affirm the algorithm's effectiveness compared to existing algorithms. Importantly, by applying clustering, a substantial Traveling Salesman Problem (TSP) can be transformed into a CTSP, thereby allowing the algorithm to solve it. Extensive tests reveal that the Clustered TLGA yields enhanced efficiency and effectiveness when solving large TSPs, outperforming the classical genetic algorithm."
"""Human""","In this paper, symbol error probability (SEP) for generalized selection combining (GSC) reception of M-ary quadrature amplitude modulation (M-QAM) signals in a block frequency-flat Rayleigh fading channel is considered. The paper presents a closed-form approximate SEP expression for GSC reception of M-QAM signals in the fading channel. The SEP expression is explicit and simulation results validate that it is very accurate"
"""AI""","This paper delves into the Symbol Error Probability (SEP) aspect of Generalized Selection Combining (GSC) reception for M-ary Quadrature Amplitude Modulation (M-QAM) signals within a block frequency-flat Rayleigh fading channel. The primary focus lies in presenting a closed-form approximate expression for SEP in the context of GSC reception of M-QAM signals amidst fading channels. This SEP expression is notable for its explicit nature, and subsequent simulation results corroborate its impressive accuracy."
"""Human""","The paper analyzes the problem of blind source separation (BSS) based on the nonlinear principal component analysis (NPCA) criterion. An adaptive strong tracking filter (STF) based algorithm was developed, which is immune to system model mismatches. Simulations demonstrate that the algorithm converges quickly and has satisfactory steady-state accuracy. The Kalman filtering algorithm and the recursive leastsquares type algorithm are shown to be special cases of the STF algorithm. Since the forgetting factor is adaptively updated by adjustment of the Kalman gain, the STF scheme provides more powerful tracking capability than the Kalman filtering algorithm and recursive least-squares algorithm"
"""AI""","This paper addresses the blind source separation (BSS) problem through an analysis of the Nonlinear Principal Component Analysis (NPCA) criterion. The research introduces an adaptive Strong Tracking Filter (STF) based algorithm designed to handle system model mismatches effectively. Notably, this algorithm showcases resilience against such mismatches. Through simulations, the algorithm's rapid convergence and commendable steady-state accuracy are demonstrated. The paper reveals that the Kalman filtering algorithm and the recursive least-squares type algorithm are special instances of the STF algorithm. An intriguing aspect of the STF approach lies in its adaptive update of the forgetting factor via Kalman gain adjustment, endowing it with a robust tracking capability that surpasses that of the Kalman filtering and recursive least-squares algorithms."
"""Human""","To get a better understanding of user behavior towards online learning systems, the technology acceptance model (TAM) was extended to include an intrinsic motivational factor. An online survey posted on a campus BBS was conducted to collect research data with a total of 121 usable responses. The results support the motivational model and show that the explained variance of online learning system use behavior is 71.30/0 higher than that of the original TAM explanation."
"""AI""","In order to gain deeper insights into user behavior with respect to online learning systems, an extension of the Technology Acceptance Model (TAM) was undertaken, incorporating an intrinsic motivational factor. This enriched model sought to encompass not just the technological aspects but also the intrinsic motivation driving users. A comprehensive online survey was conducted, hosted on a campus Bulletin Board System (BBS), yielding 121 usable responses for research data. The findings affirm the validity of the motivational model and present compelling evidence: the explained variance in online learning system usage behavior is significantly higher at 71.30% compared to the explanation provided by the original TAM framework. This underscores the importance of incorporating intrinsic motivation considerations for a more comprehensive understanding of user behavior within online learning systems."
"""Human""","This paper presents a simulation system for the disaster evacuation based on multi-agent model considering geographical information. This system consists of three parts, the modeling for the land and buildings using GIS data, the analysis of disaster evacuation using multi-agent model, and the visualization for the numerical results using the virtual reality technique. By introducing the numerical solver of the natural disaster to the present system, it is possible to evaluate not only the damage of structure but also the damage of human being. Furthermore, it is possible to investigate the appropriate evacuation route by the simulation. The Dijkstra algorithm is used to obtain shortest route to the refuge. In addition, the visualization using virtual reality technique is curried out to understand the feeling of refugee. The present system is applied to the evacuation analysis by the flood flow in urban area and is shown to be a useful tool to investigate the damage by natural disasters"
"""AI""","This paper introduces a comprehensive simulation system designed for disaster evacuation scenarios, rooted in a multi-agent model that takes into account geographical information. Comprising three key components, the system begins with GIS data-driven modeling of land and structures, progresses to the analysis of disaster evacuation via a multi-agent model, and culminates in the visualization of numerical outcomes using virtual reality techniques. A significant enhancement emerges through the integration of a numerical solver for natural disasters, enabling not only the assessment of structural damage but also the evaluation of human impact. Furthermore, the system facilitates the exploration of optimal evacuation routes through simulation. Employing the Dijkstra algorithm, the system computes the shortest path to safety. The integration of virtual reality visualization provides a means to empathetically understand the experiences of refugees. The system's applicability is demonstrated through its application to flood-induced evacuation analysis within an urban environment, showcasing its efficacy as a versatile tool for gauging the repercussions of natural disasters."
"""Human""","Quay crane and yard truck scheduling are two important subproblems in container terminal operations which have been studied separately in previous research. This paper proposes a new problem for the integrated quay crane and yard truck scheduling for inbound containers. The problem is formulated as a mixed integer programming (MIP) model. Due to the intractability, a genetic algorithm (GA) and a modified Johnson's Rule-based heuristic algorithm (MJRHA) are used for the problem solution. In addition, two closed form lower bounds are given to evaluate the solution accuracy. Computational experiments show that the solution algorithm can efficiently handle the scheduling problem and that the integrated methods are very useful"
"""AI""","Container terminal operations involve critical tasks such as quay crane and yard truck scheduling, which have traditionally been explored in isolation in prior research. This paper introduces a novel problem by integrating quay crane and yard truck scheduling for inbound containers. The problem is structured as a Mixed Integer Programming (MIP) model. Given its complexity, the paper employs a Genetic Algorithm (GA) and a modified version of Johnson's Rule-based heuristic algorithm (MJRHA) to tackle the problem. Furthermore, to assess solution accuracy, the paper presents two closed-form lower bounds. Computational experiments affirm the efficiency of the solution algorithm in handling the scheduling challenge. Moreover, the integrated methodologies demonstrate their efficacy in addressing the problem at hand, shedding light on their utility in container terminal operations."
"""Human""","Fuzzy clustering has been used widely in pattern recognition, image processing, and data analysis. An improved fuzzy clustering algorithm was developed based on the conventional fuzzy c-means (FCM) to obtain better quality clustering results. The update equations for the membership and the cluster center are derived from the alternating optimization algorithm. Two fuzzy scattering matrices in the objective function assure the compactness between data points and cluster centers, and also strengthen the separation between cluster centers in terms of a novel separable criterion. The clustering algorithm properties are shown to be an improvement over the FCM method's properties. Numerical simulations show that the clustering algorithm gives more accurate clustering results than the FCM method."
"""AI""","Fuzzy clustering has found wide application in fields such as pattern recognition, image processing, and data analysis. In this context, an enhanced fuzzy clustering algorithm has been developed as an advancement upon the conventional Fuzzy C-Means (FCM) approach, with the goal of achieving higher-quality clustering outcomes. The update equations governing membership and cluster center adjustments are deduced via an alternating optimization algorithm. The algorithm incorporates two fuzzy scattering matrices within the objective function to enhance both the cohesion between data points and cluster centers, as well as the distinctiveness among cluster centers, as indicated by a novel separable criterion. The algorithm's characteristics exhibit notable improvements over those of the FCM method. Empirical assessments through numerical simulations demonstrate that the proposed clustering algorithm yields more precise clustering results compared to the conventional FCM technique."
"""Human""","The two important features of self-organizing maps (SOM), topological preservation and easy visualization, give it great potential for analyzing multi-dimensional time series, specifically traffic flow time series in an urban traffic network. This paper investigates the application of SOM in the representation and prediction of multi-dimensional traffic time series. First, SOMs are applied to cluster the time series and to project each multi-dimensional vector onto a two-dimensional SOM plane while preserving the topological relationships of the original data. Then, the easy visualization of the SOMs is utilized and several exploratory methods are used to investigate the physical meaning of the clusters as well as how the traffic flow vectors evolve with time. Finally, the k-nearest neighbor (kNN) algorithm is applied to the clustering result to perform short-term predictions of the traffic flow vectors. Analysis of real world traffic data shows the effectiveness of these methods for traffic flow predictions, for they can capture the nonlinear information of traffic flows data and predict traffic flows on multiple links simultaneously."
"""AI""","Self-Organizing Maps (SOM) possess two key attributes - topological preservation and simple visualization - which render them highly promising for the analysis of multi-dimensional time series, particularly traffic flow time series within an urban traffic network. This paper delves into the application of SOM for the representation and prediction of multi-dimensional traffic time series. The process begins by utilizing SOMs to cluster time series data and project each multi-dimensional vector onto a two-dimensional SOM plane, preserving the original data's topological relationships. The user-friendly visualization capabilities of SOMs are then leveraged, coupled with various exploratory methods, to uncover the clusters' physical significance and the temporal evolution of traffic flow vectors. Subsequently, the k-nearest neighbor (kNN) algorithm is employed on the clustering outcome to facilitate short-term predictions of traffic flow vectors. Empirical examination of real-world traffic data demonstrates the effectiveness of these methodologies in traffic flow predictions. They adeptly capture nonlinear information within traffic flow data and can predict traffic flows across multiple links concurrently."
"""Human""","The busbars in high power neutral point clamped three-level inverters are modeled using the Maxwell Q3D Extractor software, which is based on the partial element equivalent circuits method. The equivalent circuits of the busbars and devices model are simulated in the electric simulator PSIM to analyze the effects of the parasitic inductance on the switching characteristics of the integrated gate commutated thyristor (IGCT) in different topology positions. The simulation results agree well with the measured impedance analyzer results and the IGCT test results, which proves the effectiveness of the modeling method for the large, complex busbars."
"""AI""","The modeling of busbars within high-power neutral point clamped three-level inverters is undertaken using the Maxwell Q3D Extractor software, which employs the partial element equivalent circuits method. This approach enables the creation of equivalent circuits representing both the busbars and the associated devices. The next step involves simulating these equivalent circuits within the electric simulator PSIM. The objective is to scrutinize the impact of parasitic inductance on the switching characteristics of the Integrated Gate Commutated Thyristor (IGCT) in various positions within different topology setups. Through these simulations, the outcomes are compared against measurements from impedance analyzer tests and IGCT performance assessments. The findings reveal a high level of agreement between simulation results and experimental data, thus validating the efficacy of this modeling technique for handling intricate and expansive busbar systems."
"""Human""","This paper presents an optimized topology for urban traffic sensor networks. Small world theory is used to improve the performance of the wireless communication system with a heterogeneous transmission model and an optimal transmission radius. Furthermore, a series of simulations based on the actual road network around the 2 nd Ring Road in Beijing demonstrate the practicability of constructing artificial “small worlds”. Moreover, the particle swarm optimization method is used to calculate the globally best distribution of the nodes with the large radius. The methods proposed in this paper will be helpful to the sensor nodes deployment of the new urban traffic sensor networks"
"""AI""","This paper introduces an optimized topology design for urban traffic sensor networks, aiming to enhance wireless communication system performance. Leveraging the principles of small-world theory, improvements are achieved through a heterogeneous transmission model and an optimal transmission radius. Through simulations conducted using the road network surrounding Beijing's 2nd Ring Road, the feasibility of creating artificial ""small worlds"" is demonstrated. Additionally, the particle swarm optimization method is employed to determine the globally optimal distribution of nodes with larger radii. The methodologies presented herein hold potential for guiding the deployment of sensor nodes within new urban traffic sensor networks, contributing to their effectiveness and efficiency."
"""Human""","This paper presents a fault-tolerant computer system. It is designed as a double 2-out-of-2 architecture based on component redundant technique. Also, a quantitative probabilistic model is presented for evaluating the reliability, availability, maintainability and safety (RAMS) of this architecture. Hierarchical modeling method and Markov modeling method are used in RAMS analysis to evaluate the system characteristics. The double 2-out-of-2 system is compared with the other two systems, all voting triple modular redundancy (AVTMR) system and dual-duplex system. According to the result, the double 2-out-of-2 system has the highest dependability. Especially, the system can satisfy the safety integrity level (SIL) 4, which means the system's probability of catastrophic failure less than or equal to 10–8 per hour, therefore, it can be applied to life critical systems such as high-speed railway systems."
"""AI""","This paper introduces a fault-tolerant computer system design utilizing a double 2-out-of-2 architecture based on component redundancy techniques. Additionally, the paper presents a quantitative probabilistic model for assessing the system's reliability, availability, maintainability, and safety (RAMS). Both hierarchical modeling and Markov modeling methods are applied to evaluate various system characteristics within the RAMS framework. The performance of the double 2-out-of-2 system is compared with that of two other systems: the All Voting Triple Modular Redundancy (AVTMR) system and the dual-duplex system. The findings indicate that the double 2-out-of-2 system exhibits the highest dependability. Notably, this system meets the stringent safety integrity level (SIL) 4 requirement, ensuring the probability of catastrophic failure is less than or equal to 10^-8 per hour. As such, it becomes a viable solution for life-critical systems, including high-speed railway systems."
"""Human""","A general review of the socio-economic impact of the intelligent transport system (ITS) is presented with a case study to demonstrate the data envelopment analysis method. Cost-benefit analyses are still the dominant method for evaluating ITS and other transport engineering projects, while cost effective analyses and multi-criteria appraisals are widely used to define and prioritize objectives by providing useful information for the most promising policy decisions. Both cost-benefit analyses and a data envelopment analysis method are applied to analyze the socio-economic impact of convoy driving systems. The main findings are that a convoy provides a worthwhile benefit-cost ratio when more than 30% of the traffics in the convoys and the traffic load exceeds 5500 vehicles/h for a three-lane motorway. The results also show that for a fixed percentage of convoys, increased demand will increase the data envelopment analysis method relative efficiency and that the neglect of certain output indicators of an ITS may result in underestimation of the system effects."
"""AI""","This study offers a comprehensive overview of the socio-economic influence of Intelligent Transport Systems (ITS) while employing a case study to illustrate the Data Envelopment Analysis (DEA) method. Within the realm of evaluating ITS and similar transport engineering projects, cost-benefit analyses remain the predominant approach. Concurrently, cost-effective analyses and multi-criteria appraisals are widely employed for goal definition and prioritization, supplying valuable insights for informed policy decisions. In this context, both cost-benefit analyses and the DEA method are employed to examine the socio-economic implications of convoy driving systems. The primary findings reveal that convoy systems yield a beneficial benefit-cost ratio, specifically when over 30% of traffic forms convoys, and traffic load exceeds 5500 vehicles/hour for a three-lane motorway. Furthermore, the results indicate that augmenting demand leads to an increase in DEA method relative efficiency, for a fixed percentage of convoys. Importantly, disregarding certain output indicators of an ITS may lead to an underestimation of system effects. This research highlights the multifaceted evaluation approaches necessary to grasp the holistic impact of intelligent transport systems."
"""Human""","This paper presents a Kalman filter to effectively and economically determine the Euler angles for micro aerial vehicles (MAVs), whose size and payload are severely limited. The filter uses data from a series of micro-electro mechanical system sensors to determine the selected 3 variables of the direction cosine matrix and the bias of the rate gyro sensors as state elements in a dynamic model, with the gravitational acceleration to build a measurement model. For high speed maneuvers, rigid motion equations are used to correct the measurements of the gravitational acceleration. The filter is designed to automatically tune its gain based on the dynamic system state. Simulations indicate that the Euler angles can be determined with standard deviations less than 3°. The algorithm was successfully implemented in a miniature attitude measurement system suitable for MAVs. Aerobatic flights show that the attitude determination algorithm works effectively. The attitude determination algorithm is effective and economical, and can also be applied to bionic robofishs and land vehicles, whose size and payload are also greatly limited"
